data,torneo,home,away,elo_h,elo_a,gol_home,gol_away,match_confidence,match_note
19/1/25,germania - bundesliga 2,paderborn,hertha berlino,2111.67,2057.79,1,2,bassa,rating diverso di 65.5 punti totali - verificare a mano
19/1/25,italia - serie b,palermo,juve stabia,1947.98,1831.85,1,0,bassa,rating diverso di 66.1 punti totali - verificare a mano
19/1/25,italia - serie c,arzignano valchiampo,trento,1581.96,1558.77,,,n/d,data giusta ma nessun avversario simile a 'trento'
19/1/25,costa rica - primera division,ad san carlos,sporting san jose,1680.76,1596.41,,,n/d,data giusta ma nessun avversario simile a 'sporting san jose'
24/1/25,portogallo - segunda liga,academico viseu,feirense,1808.4,1716.23,2,1,media,rating diverso di 55.7 punti (plausibile pre/post match)
24/1/25,spagna - segunda division,las palmas,osasuna,2122.43,2090.76,1,1,bassa,rating diverso di 86.9 punti totali - verificare a mano
24/1/25,svizzera - challenge league,neuchatel xamax,stade lausanne-ouchy,1749.11,1731.19,,,n/d,nessuna partita con quella data sulla pagina
24/1/25,italia - serie b,cesena,bari,1905.84,1811.54,1,1,bassa,rating diverso di 86.0 punti totali - verificare a mano
24/1/25,italia - serie c,carpi,spal,1560.02,1535.91,,,n/d,data giusta ma nessun avversario simile a 'spal'
24/1/25,uk - championship,qpr,sheffield wednesday,2028.59,1992.74,,,n/d,nessuna partita con quella data sulla pagina
24/1/25,uk - league 2,barrow,grimsby,1850.52,1785.42,,,n/d,nessuna partita con quella data sulla pagina
24/1/25,,abc,America rn,1692.09,1638.45,,,n/d,nessuna partita con quella data sulla pagina
24/1/25,,plaza amador,arabe unido,1655.01,1579.14,,,n/d,data giusta ma nessun avversario simile a 'arabe unido'
24/1/25,brasile - campionato paulista a2,linense,rio claro,1568.91,1535.65,,,n/d,nessuna partita con quella data sulla pagina
24/1/25,spagna - segunda division,granada,sporting gijon,1969.57,1912.2,,,n/d,nessuna partita con quella data sulla pagina
24/1/25,italia - serie a,lazio,fiorentina,2277.36,2179.54,,,n/d,data giusta ma nessun avversario simile a 'fiorentina'
27/1/25,brasile - campeonato paulista,guarani,noroeste,1720.46,1615.55,,,n/d,nessuna partita con quella data sulla pagina
1/2/25,,millwall,qpr,2029.95,1957.01,,,n/d,data giusta ma nessun avversario simile a 'qpr'
27/1/25,,getafe,Siviglia,2152.87,2113.38,,,n/d,data giusta ma nessun avversario simile a 'Siviglia'
27/1/25,,wehen,VfB stoccarda 2,1918.67,1819.71,,,n/d,nessuna partita con quella data sulla pagina
27/1/25,germania - bundesliga 2,eintracht francoforte,wolfsburg,2291.57,2187.71,,,n/d,data giusta ma nessun avversario simile a 'wolfsburg'
27/1/25,spagna - la liga,valencia,celta vigo,2157.22,2098.86,,,n/d,data giusta ma nessun avversario simile a 'celta vigo'
27/1/25,spagna - segunda division,eibar,deportivo la coruna,1951.39,1883.61,,,n/d,nessuna partita con quella data sulla pagina
27/1/25,francia - ligue 1,marsiglia,lione,2248.96,2161.07,,,n/d,nessuna partita con quella data sulla pagina
27/1/25,brasile - campeonato sergipano,confianca,lagarto,1717.01,1588.12,,,n/d,nessuna partita con quella data sulla pagina
27/1/25,uk - championship,middlesbrough,sunderland,2151.84,2127.87,,,n/d,nessuna partita con quella data sulla pagina
6/2/25,,cariari pococi,guadalupe fc,1603.31,1590.59,,,n/d,nessuna partita con quella data sulla pagina
6/2/25,,aparedicense,crac,1693.33,1659.82,,,n/d,nessuna partita con quella data sulla pagina
6/2/25,guatemala - liga nacional,marquense,coban imperial,1674.02,1590.31,,,n/d,nessuna partita con quella data sulla pagina
7/2/25,turchia - 1 lig,genclerbirligi,esenler erokspor,1839.41,1742.84,1,1,alta,rating coincide
7/2/25,francia - ligue 2,rodez,sc bastia,1857.92,1841.37,0,2,media,rating diverso di 26.1 punti (plausibile pre/post match)
7/2/25,spagna - segunda division,albacete balompie,real Saragozza,1919.97,1862.61,2,1,bassa,rating diverso di 73.6 punti totali - verificare a mano
7/2/25,polonia - ekstraklasa,pogon szczecin,gornik zabrze,1958.81,1880.29,3,0,media,rating diverso di 26.5 punti (plausibile pre/post match)
8/2/25,brasile - campeonato paulista,portuguesa,inter de limeira,1708.84,1610.16,,,n/d,data giusta ma nessun avversario simile a 'inter de limeira'
8/2/25,honduras - lega nazionale,real espana,cd marathon,1647.08,1583.51,,,n/d,data giusta ma nessun avversario simile a 'cd marathon'
8/2/25,marocco - gnf 2,stade marocain du rabat,usm oujda,1606.03,1485.61,,,n/d,nessuna partita con quella data sulla pagina
9/2/25,panama - lpf,tauro fc,plaza amador,1622.32,1611.99,,,n/d,data giusta ma nessun avversario simile a 'plaza amador'
9/2/25,messico - liga de expansion,jaiba brava,cancun fc,1666.57,1584.93,,,n/d,data giusta ma nessun avversario simile a 'cancun fc'
9/2/25,portogallo - primera liga,arouca,rio ave,1991.42,1893.6,1,1,media,rating diverso di 32.9 punti (plausibile pre/post match)
9/2/25,uk - isthmian premier division,whitehawk,hendon,1500.39,1434.24,,,n/d,nessuna partita con quella data sulla pagina
9/2/25,el salvador - clausura,municipal limeno,cd cacahuatique,1514.82,1474.56,,,n/d,data giusta ma nessun avversario simile a 'cd cacahuatique'
14/2/25,francia - ligue 2,amiens,grenoble,1823.62,1760.91,,,n/d,nessuna partita con quella data sulla pagina
14/2/25,francia - ligue 1,brest,auxerre,2078.05,2014.16,2,2,media,rating diverso di 44.1 punti (plausibile pre/post match)
14/2/25,uk - championship,qpr,derby,2017.8,1901.68,,,n/d,nessuna partita con quella data sulla pagina
15/2/25,thailandia - premier league,nong bua pitchaya,nakhon ratchasima,1746.12,1660.03,,,n/d,nessuna partita con quella data sulla pagina
15/2/25,Serbia - prva liga,borac cacak,fk radnick surdulica,1601.79,1534.0,,,n/d,nessuna partita con quella data sulla pagina
15/2/25,Algeria - 2 divisione,asm oran,na Hussein dey,1538.84,1427.33,,,n/d,data giusta ma nessun avversario simile a 'na Hussein dey'
15/2/25,croazia - 1. nl,orijent,opatija,1610.05,1462.38,,,n/d,data giusta ma nessun avversario simile a 'opatija'
15/2/25,germania - bundesliga,union berlino,borussia m'gladbach,2213.85,2142.07,,,n/d,data giusta ma nessun avversario simile a 'borussia m'gladbach'
15/2/25,uk - league 1,barnsley,huddersfield,1997.36,1963.85,1,2,bassa,rating diverso di 77.3 punti totali - verificare a mano
15/2/25,grecia - superleague,ofi creta,asteras tripolis,1911.72,1865.08,2,1,bassa,rating diverso di 68.9 punti totali - verificare a mano
16/2/25,turchia - 2 lig kirmizi,Ankara demirspor,Karaman,1597.63,1551.44,,,n/d,data giusta ma nessun avversario simile a 'Karaman'
15/2/25,croatia - 1. nl ,nk croatia zmijavci,nk dugopolje,1571.25,1479.07,,,n/d,data giusta ma nessun avversario simile a 'nk dugopolje'
16/2/25,italia - serie c,arezzo,torres,1697.02,1679.81,,,n/d,nessuna partita con quella data sulla pagina
16/2/25,ungheria - nb II,szeged-csanad grosics,kozarmisleny se,1621.42,1569.43,,,n/d,nessuna partita con quella data sulla pagina
16/2/25,camerun - elite one,canon de yaounde,fc gazelle,1739.77,1708.72,,,n/d,data giusta ma nessun avversario simile a 'fc gazelle'
16/2/25,camerun - elite one,stade renard de melong,pwd de bamenda,1665.1,1583.45,,,n/d,data giusta ma nessun avversario simile a 'pwd de bamenda'
16/2/25,spagna - segunda division,huesca,granada,1929.02,1893.83,,,n/d,data giusta ma nessun avversario simile a 'granada'
16/2/25,portogallo - segunda liga,ud leira,academico viseu,1839.73,1762.37,1,1,media,rating diverso di 58.8 punti (plausibile pre/post match)
16/2/25,,preston,millwall,2024.47,1977.85,,,n/d,data giusta ma nessun avversario simile a 'millwall'
16/2/25,,notts count,Colchester,1920.2,1810.99,,,n/d,nessuna partita con quella data sulla pagina
16/2/25,brasile - campionati statali,taubate,rio claro,1608.98,1537.2,,,n/d,nessuna partita con quella data sulla pagina
16/2/25,colombia - primera a,once caldas,deportivo pereira,1751.16,1641.96,,,n/d,data giusta ma nessun avversario simile a 'deportivo pereira'
22/2/25,giamaica - premier league,arnett gardens,portmore united,1625.86,1570.91,,,n/d,data giusta ma nessun avversario simile a 'portmore united'
22/2/25,germania - bundesliga 2,sc preussen munster,jahn regensburg,1991.16,1910.5,2,0,media,rating diverso di 44.3 punti (plausibile pre/post match)
22/2/25,Croazia - 1. nl,rudes,orijent,1620.35,1526.43,,,n/d,data giusta ma nessun avversario simile a 'orijent'
22/2/25,italia - serie b,mantova,bari,1859.2,1801.84,0,1,bassa,rating diverso di 97.0 punti totali - verificare a mano
22/2/25,Guatemala - Liga nacional,coban imperial,xelaju,1708.07,1658.09,,,n/d,data giusta ma nessun avversario simile a 'xelaju'
23/2/25,ecuador - liga pro serie a,independiente del valle,ldu quito,1934.33,1886.34,,,n/d,nessuna partita con quella data sulla pagina
23/2/25,uk - championship,watford,Luton,1991.5,1947.03,2,0,bassa,rating diverso di 76.6 punti totali - verificare a mano
23/2/25,Ungheria - nb2,bekescsabai elore se,soroksar,1545.82,1545.32,,,n/d,nessuna partita con quella data sulla pagina
23/2/25,spagna - segunda division,deportivo la coruna,huesca,1951.04,1853.23,0,0,bassa,rating diverso di 80.2 punti totali - verificare a mano
23/2/25,austria - bundesliga,scr altach,hartberg,1929.18,1906.42,0,0,media,rating diverso di 47.8 punti (plausibile pre/post match)
23/2/25,italia - serie c,crotone,monopoli,1725.55,1633.37,,,n/d,data giusta ma nessun avversario simile a 'monopoli'
23/2/25,italia - serie c,foggia,potenza,1625.58,1581.5,,,n/d,nessuna partita con quella data sulla pagina
23/2/25,turchia - 1 lig,umraniyespor,sakaryaspor,1822.41,1777.44,,,n/d,nessuna partita con quella data sulla pagina
23/2/25,Francia - ligue 1,Strasburgo ,brest,2106.19,2025.1,0,0,bassa,rating diverso di 66.2 punti totali - verificare a mano
23/2/25,el Salvador - clausura,cd aguila,ad isidro Metapan,1685.01,1604.96,,,n/d,data giusta ma nessun avversario simile a 'ad isidro Metapan'
